"Agriculture Year",District,Crop,Area,"Area Unit",Production,"Production Unit",Productivity,"Productivity Unit"
2001-02,Idukki,Plantain,3378,Hectare,36507,MT,10807,"Kg/ Hectare"
2001-02,Ernakulam,Plantain,4957,Hectare,33835,MT,6826,"Kg/ Hectare"
2001-02,Thrissur,Plantain,6120,Hectare,29425,MT,4808,"Kg/ Hectare"
2001-02,Palakkad,Plantain,5671,Hectare,47915,MT,8449,"Kg/ Hectare"
2001-02,Malappuram,Plantain,4369,Hectare,24944,MT,5709,"Kg/ Hectare"
2001-02,Kozhikode,Plantain,3358,Hectare,20949,MT,6239,"Kg/ Hectare"
2001-02,Wayanad,Plantain,1915,Hectare,16210,MT,8465,"Kg/ Hectare"
2001-02,Kannur,Plantain,3948,Hectare,19325,MT,4895,"Kg/ Hectare"
2001-02,Kasaragod,Plantain,3067,Hectare,21215,MT,6917,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Jack,6780,Hectare,30,"Million Nuts",4425,"Kg/ Hectare"
2001-02,Kollam,Jack,6436,Hectare,26,"Million Nuts",4040,"Kg/ Hectare"
2001-02,Pathanamthitta,Jack,2998,Hectare,14,"Million Nuts",4670,"Kg/ Hectare"
2001-02,Alappuzha,Jack,3145,Hectare,6,"Million Nuts",1908,"Kg/ Hectare"
2001-02,Kottayam,Jack,4617,Hectare,19,"Million Nuts",4115,"Kg/ Hectare"
2001-02,Idukki,Jack,6071,Hectare,20,"Million Nuts",3294,"Kg/ Hectare"
2001-02,Ernakulam,Jack,4708,Hectare,17,"Million Nuts",3611,"Kg/ Hectare"
2001-02,Thrissur,Jack,5183,Hectare,17,"Million Nuts",3280,"Kg/ Hectare"
2001-02,Palakkad,Jack,5098,Hectare,23,"Million Nuts",4512,"Kg/ Hectare"
2001-02,Malappuram,Jack,9561,Hectare,26,"Million Nuts",2719,"Kg/ Hectare"
2001-02,Kozhikode,Jack,11090,Hectare,28,"Million Nuts",2525,"Kg/ Hectare"
2001-02,Wayanad,Jack,10980,Hectare,18,"Million Nuts",1639,"Kg/ Hectare"
2001-02,Kannur,Jack,14111,Hectare,52,"Million Nuts",3685,"Kg/ Hectare"
2001-02,Kasaragod,Jack,2694,Hectare,12,"Million Nuts",4454,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Cashew,2461,Hectare,988,MT,401,"Kg/ Hectare"
2001-02,Kollam,Cashew,4772,Hectare,3756,MT,787,"Kg/ Hectare"
2001-02,Pathanamthitta,Cashew,1137,Hectare,524,MT,461,"Kg/ Hectare"
2001-02,Alappuzha,Cashew,4472,Hectare,1355,MT,303,"Kg/ Hectare"
2001-02,Kottayam,Cashew,765,Hectare,229,MT,299,"Kg/ Hectare"
2001-02,Idukki,Cashew,1350,Hectare,547,MT,405,"Kg/ Hectare"
2001-02,Ernakulam,Cashew,1468,Hectare,724,MT,493,"Kg/ Hectare"
2001-02,Thrissur,Cashew,3719,Hectare,1525,MT,410,"Kg/ Hectare"
2001-02,Palakkad,Cashew,5947,Hectare,2262,MT,380,"Kg/ Hectare"
2001-02,Malappuram,Cashew,10953,Hectare,4941,MT,451,"Kg/ Hectare"
2001-02,Kozhikode,Cashew,4099,Hectare,2306,MT,563,"Kg/ Hectare"
2001-02,Wayanad,Cashew,1536,Hectare,627,MT,408,"Kg/ Hectare"
2001-02,Kannur,Cashew,27103,Hectare,24087,MT,889,"Kg/ Hectare"
2001-02,Kasaragod,Cashew,19936,Hectare,21996,MT,1103,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Coconut,88604,Hectare,627,"Million Nuts",7076,"Kg/ Hectare"
2001-02,Kollam,Coconut,74956,Hectare,425,"Million Nuts",5670,"Kg/ Hectare"
2001-02,Pathanamthitta,Coconut,22696,Hectare,124,"Million Nuts",5464,"Kg/ Hectare"
2001-02,Alappuzha,Coconut,57047,Hectare,280,"Million Nuts",4908,"Kg/ Hectare"
2001-02,Kottayam,Coconut,39429,Hectare,180,"Million Nuts",4565,"Kg/ Hectare"
2001-02,Idukki,Coconut,25603,Hectare,96,"Million Nuts",3750,"Kg/ Hectare"
2001-02,Ernakulam,Coconut,62684,Hectare,343,"Million Nuts",5472,"Kg/ Hectare"
2001-02,Thrissur,Coconut,85480,Hectare,545,"Million Nuts",6376,"Kg/ Hectare"
2001-02,Palakkad,Coconut,50568,Hectare,284,"Million Nuts",5616,"Kg/ Hectare"
2001-02,Malappuram,Coconut,104171,Hectare,599,"Million Nuts",5750,"Kg/ Hectare"
2001-02,Kozhikode,Coconut,130100,Hectare,895,"Million Nuts",6879,"Kg/ Hectare"
2001-02,Wayanad,Coconut,11383,Hectare,39,"Million Nuts",3426,"Kg/ Hectare"
2001-02,Kannur,Coconut,95712,Hectare,604,"Million Nuts",6311,"Kg/ Hectare"
2001-02,Kasaragod,Coconut,57285,Hectare,438,"Million Nuts",7646,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Arecanut,1106,Hectare,493,MT,446,"Kg/ Hectare"
2001-02,Kollam,Arecanut,2382,Hectare,1321,MT,555,"Kg/ Hectare"
2001-02,Pathanamthitta,Arecanut,1345,Hectare,1071,MT,796,"Kg/ Hectare"
2001-02,Alappuzha,Arecanut,2389,Hectare,792,MT,332,"Kg/ Hectare"
2001-02,Kottayam,Arecanut,1587,Hectare,725,MT,457,"Kg/ Hectare"
2001-02,Idukki,Arecanut,3942,Hectare,3432,MT,871,"Kg/ Hectare"
2001-02,Ernakulam,Arecanut,4662,Hectare,3607,MT,774,"Kg/ Hectare"
2001-02,Thrissur,Arecanut,7179,Hectare,6584,MT,917,"Kg/ Hectare"
2001-02,Palakkad,Arecanut,4026,Hectare,4007,MT,995,"Kg/ Hectare"
2001-02,Malappuram,Arecanut,17735,Hectare,11085,MT,592,"Kg/ Hectare"
2001-02,Kozhikode,Arecanut,11189,Hectare,12830,MT,1147,"Kg/ Hectare"
2001-02,Wayanad,Arecanut,6636,Hectare,2682,MT,404,"Kg/ Hectare"
2001-02,Kannur,Arecanut,14436,Hectare,14237,MT,986,"Kg/ Hectare"
2001-02,Kasaragod,Arecanut,14579,Hectare,21813,MT,1496,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Pepper,6376,Hectare,1642,MT,258,"Kg/ Hectare"
2001-02,Kollam,Pepper,11381,Hectare,4275,MT,376,"Kg/ Hectare"
2001-02,Pathanamthitta,Pepper,5613,Hectare,1455,MT,259,"Kg/ Hectare"
2001-02,Alappuzha,Pepper,2054,Hectare,196,MT,95,"Kg/ Hectare"
2001-02,Kottayam,Pepper,9139,Hectare,1372,MT,150,"Kg/ Hectare"
2001-02,Idukki,Pepper,60537,Hectare,24560,MT,406,"Kg/ Hectare"
2001-02,Ernakulam,Pepper,7941,Hectare,1219,MT,154,"Kg/ Hectare"
2001-02,Thrissur,Pepper,4174,Hectare,589,MT,141,"Kg/ Hectare"
2001-02,Palakkad,Pepper,5063,Hectare,723,MT,143,"Kg/ Hectare"
2001-02,Malappuram,Pepper,8996,Hectare,616,MT,68,"Kg/ Hectare"
2001-02,Kozhikode,Pepper,12775,Hectare,2722,MT,213,"Kg/ Hectare"
2001-02,Wayanad,Pepper,40088,Hectare,13083,MT,326,"Kg/ Hectare"
2001-02,Kannur,Pepper,23341,Hectare,4412,MT,189,"Kg/ Hectare"
2001-02,Kasaragod,Pepper,6478,Hectare,1376,MT,212,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Rubber,28296,Hectare,33586,MT,1187,"Kg/ Hectare"
2001-02,Kollam,Rubber,36863,Hectare,46854,MT,1271,"Kg/ Hectare"
2001-02,Pathanamthitta,Rubber,47862,Hectare,62502,MT,1306,"Kg/ Hectare"
2001-02,Alappuzha,Rubber,3849,Hectare,4114,MT,1069,"Kg/ Hectare"
2001-02,Kottayam,Rubber,111301,Hectare,140543,MT,1263,"Kg/ Hectare"
2001-02,Idukki,Rubber,38123,Hectare,45260,MT,1187,"Kg/ Hectare"
2001-02,Ernakulam,Rubber,56710,Hectare,73219,MT,1291,"Kg/ Hectare"
2001-02,Thrissur,Rubber,13402,Hectare,19762,MT,1475,"Kg/ Hectare"
2001-02,Palakkad,Rubber,28985,Hectare,31759,MT,1096,"Kg/ Hectare"
2001-02,Malappuram,Rubber,29263,Hectare,32904,MT,1124,"Kg/ Hectare"
2001-02,Kozhikode,Rubber,17575,Hectare,22884,MT,1302,"Kg/ Hectare"
2001-02,Wayanad,Rubber,6450,Hectare,4038,MT,626,"Kg/ Hectare"
2001-02,Kannur,Rubber,34012,Hectare,38800,MT,1141,"Kg/ Hectare"
2001-02,Kasaragod,Rubber,22348,Hectare,24125,MT,1080,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Cocoa,134,Hectare,48,MT,358,"Kg/ Hectare"
2001-02,Kollam,Cocoa,26,Hectare,11,MT,423,"Kg/ Hectare"
2001-02,Pathanamthitta,Cocoa,778,Hectare,334,MT,429,"Kg/ Hectare"
2001-02,Alappuzha,Cocoa,182,Hectare,112,MT,615,"Kg/ Hectare"
2001-02,Kottayam,Cocoa,1720,Hectare,761,MT,442,"Kg/ Hectare"
2001-02,Idukki,Cocoa,3363,Hectare,1689,MT,502,"Kg/ Hectare"
2001-02,Ernakulam,Cocoa,1335,Hectare,667,MT,500,"Kg/ Hectare"
2001-02,Thrissur,Cocoa,139,Hectare,52,MT,374,"Kg/ Hectare"
2001-02,Palakkad,Cocoa,33,Hectare,21,MT,636,"Kg/ Hectare"
2001-02,Malappuram,Cocoa,52,Hectare,39,MT,750,"Kg/ Hectare"
2001-02,Kozhikode,Cocoa,458,Hectare,227,MT,496,"Kg/ Hectare"
2001-02,Wayanad,Cocoa,141,Hectare,43,MT,305,"Kg/ Hectare"
2001-02,Kannur,Cocoa,206,Hectare,67,MT,325,"Kg/ Hectare"
2001-02,Kasaragod,Cocoa,109,Hectare,25,MT,229,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Pineapple,329,Hectare,2282,MT,6936,"Kg/ Hectare"
2001-02,Kollam,Pineapple,590,Hectare,4381,MT,7425,"Kg/ Hectare"
2001-02,Pathanamthitta,Pineapple,257,Hectare,1503,MT,5848,"Kg/ Hectare"
2001-02,Alappuzha,Pineapple,90,Hectare,297,MT,3300,"Kg/ Hectare"
2001-02,Kottayam,Pineapple,572,Hectare,3673,MT,6421,"Kg/ Hectare"
2001-02,Idukki,Pineapple,1440,Hectare,13995,MT,9719,"Kg/ Hectare"
2001-02,Ernakulam,Pineapple,6114,Hectare,47390,MT,7751,"Kg/ Hectare"
2001-02,Thrissur,Pineapple,337,Hectare,2349,MT,6970,"Kg/ Hectare"
2001-02,Palakkad,Pineapple,132,Hectare,817,MT,6189,"Kg/ Hectare"
2001-02,Malappuram,Pineapple,360,Hectare,1647,MT,4575,"Kg/ Hectare"
2001-02,Kozhikode,Pineapple,380,Hectare,2454,MT,6458,"Kg/ Hectare"
2001-02,Wayanad,Pineapple,45,Hectare,197,MT,4378,"Kg/ Hectare"
2001-02,Kannur,Pineapple,408,Hectare,2002,MT,4907,"Kg/ Hectare"
2001-02,Kasaragod,Pineapple,105,Hectare,886,MT,8438,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Pappaya,965,Hectare,6355,MT,6585,"Kg/ Hectare"
2001-02,Kollam,Pappaya,1076,Hectare,1000,MT,929,"Kg/ Hectare"
2001-02,Pathanamthitta,Pappaya,597,Hectare,3298,MT,5524,"Kg/ Hectare"
2001-02,Alappuzha,Pappaya,1044,Hectare,5193,MT,4974,"Kg/ Hectare"
2001-02,Kottayam,Pappaya,1119,Hectare,8060,MT,7203,"Kg/ Hectare"
2001-02,Idukki,Pappaya,738,Hectare,1838,MT,2491,"Kg/ Hectare"
2001-02,Ernakulam,Pappaya,1475,Hectare,7141,MT,4841,"Kg/ Hectare"
2001-02,Thrissur,Pappaya,1391,Hectare,6083,MT,4373,"Kg/ Hectare"
2001-02,Palakkad,Pappaya,1205,Hectare,7989,MT,6630,"Kg/ Hectare"
2001-02,Malappuram,Pappaya,2214,Hectare,9563,MT,4319,"Kg/ Hectare"
2001-02,Kozhikode,Pappaya,1695,Hectare,1102,MT,650,"Kg/ Hectare"
2001-02,Wayanad,Pappaya,411,Hectare,2744,MT,6676,"Kg/ Hectare"
2001-02,Kannur,Pappaya,1497,Hectare,8018,MT,5356,"Kg/ Hectare"
2001-02,Kasaragod,Pappaya,589,Hectare,3625,MT,6154,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Mango,5161,Hectare,26667,MT,5167,"Kg/ Hectare"
2001-02,Kollam,Mango,5715,Hectare,25117,MT,4395,"Kg/ Hectare"
2001-02,Pathanamthitta,Mango,1746,Hectare,11880,MT,6804,"Kg/ Hectare"
2001-02,Alappuzha,Mango,5436,Hectare,17645,MT,3246,"Kg/ Hectare"
2001-02,Kottayam,Mango,3131,Hectare,14362,MT,4587,"Kg/ Hectare"
2001-02,Idukki,Mango,2668,Hectare,13524,MT,5069,"Kg/ Hectare"
2001-02,Ernakulam,Mango,4614,Hectare,14959,MT,3242,"Kg/ Hectare"
2001-02,Thrissur,Mango,6995,Hectare,21698,MT,3102,"Kg/ Hectare"
2001-02,Palakkad,Mango,8709,Hectare,38224,MT,4389,"Kg/ Hectare"
2001-02,Malappuram,Mango,10793,Hectare,33081,MT,3065,"Kg/ Hectare"
2001-02,Kozhikode,Mango,10920,Hectare,15474,MT,1417,"Kg/ Hectare"
2001-02,Wayanad,Mango,5138,Hectare,9269,MT,1804,"Kg/ Hectare"
2001-02,Kannur,Mango,12374,Hectare,49434,MT,3995,"Kg/ Hectare"
2001-02,Kasaragod,Mango,2908,Hectare,14211,MT,4887,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Ginger,121,Hectare,441,MT,3645,"Kg/ Hectare"
2001-02,Kollam,Ginger,732,Hectare,1762,MT,2407,"Kg/ Hectare"
2001-02,Pathanamthitta,Ginger,482,Hectare,1351,MT,2803,"Kg/ Hectare"
2001-02,Alappuzha,Ginger,180,Hectare,308,MT,1711,"Kg/ Hectare"
2001-02,Kottayam,Ginger,256,Hectare,746,MT,2914,"Kg/ Hectare"
2001-02,Idukki,Ginger,1694,Hectare,6026,MT,3557,"Kg/ Hectare"
2001-02,Ernakulam,Ginger,462,Hectare,1399,MT,3028,"Kg/ Hectare"
2001-02,Thrissur,Ginger,123,Hectare,353,MT,2870,"Kg/ Hectare"
2001-02,Palakkad,Ginger,1452,Hectare,6478,MT,4461,"Kg/ Hectare"
2001-02,Malappuram,Ginger,212,Hectare,426,MT,2009,"Kg/ Hectare"
2001-02,Kozhikode,Ginger,297,Hectare,1028,MT,3461,"Kg/ Hectare"
2001-02,Wayanad,Ginger,4192,Hectare,18084,MT,4314,"Kg/ Hectare"
2001-02,Kannur,Ginger,345,Hectare,1188,MT,3443,"Kg/ Hectare"
2001-02,Kasaragod,Ginger,158,Hectare,591,MT,3741,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Turmeric,30,Hectare,60,MT,2000,"Kg/ Hectare"
2001-02,Kollam,Turmeric,298,Hectare,418,MT,1403,"Kg/ Hectare"
2001-02,Pathanamthitta,Turmeric,69,Hectare,117,MT,1696,"Kg/ Hectare"
2001-02,Alappuzha,Turmeric,15,Hectare,20,MT,1333,"Kg/ Hectare"
2001-02,Kottayam,Turmeric,197,Hectare,520,MT,2640,"Kg/ Hectare"
2001-02,Idukki,Turmeric,349,Hectare,703,MT,2014,"Kg/ Hectare"
2001-02,Ernakulam,Turmeric,639,Hectare,456,MT,714,"Kg/ Hectare"
2001-02,Thrissur,Turmeric,97,Hectare,225,MT,2320,"Kg/ Hectare"
2001-02,Palakkad,Turmeric,799,Hectare,2152,MT,2693,"Kg/ Hectare"
2001-02,Malappuram,Turmeric,241,Hectare,348,MT,1444,"Kg/ Hectare"
2001-02,Kozhikode,Turmeric,424,Hectare,964,MT,2274,"Kg/ Hectare"
2001-02,Wayanad,Turmeric,137,Hectare,244,MT,1781,"Kg/ Hectare"
2001-02,Kannur,Turmeric,174,Hectare,445,MT,2557,"Kg/ Hectare"
2001-02,Kasaragod,Turmeric,89,Hectare,223,MT,2506,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Cardamom,4,Hectare,,MT,,"Kg/ Hectare"
2001-02,Kollam,Cardamom,7,Hectare,,MT,,"Kg/ Hectare"
2001-02,Pathanamthitta,Cardamom,664,Hectare,77,MT,116,"Kg/ Hectare"
2001-02,Alappuzha,Cardamom,,Hectare,,MT,,"Kg/ Hectare"
2001-02,Kottayam,Cardamom,200,Hectare,24,MT,120,"Kg/ Hectare"
2001-02,Idukki,Cardamom,32668,Hectare,7788,MT,238,"Kg/ Hectare"
2001-02,Ernakulam,Cardamom,,Hectare,,MT,,"Kg/ Hectare"
2001-02,Thrissur,Cardamom,,Hectare,,MT,,"Kg/ Hectare"
2001-02,Palakkad,Cardamom,2754,Hectare,190,MT,69,"Kg/ Hectare"
2001-02,Malappuram,Cardamom,70,Hectare,1,MT,14,"Kg/ Hectare"
2001-02,Kozhikode,Cardamom,220,Hectare,,MT,,"Kg/ Hectare"
2001-02,Wayanad,Cardamom,4106,Hectare,300,MT,73,"Kg/ Hectare"
2001-02,Kannur,Cardamom,128,Hectare,,MT,,"Kg/ Hectare"
2001-02,Kasaragod,Cardamom,515,Hectare,,MT,,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Tea,965,Hectare,124,MT,128,"Kg/ Hectare"
2001-02,Kollam,Tea,1258,Hectare,367,MT,292,"Kg/ Hectare"
2001-02,Pathanamthitta,Tea,91,Hectare,,MT,,"Kg/ Hectare"
2001-02,Alappuzha,Tea,,Hectare,,MT,,"Kg/ Hectare"
2001-02,Kottayam,Tea,2168,Hectare,245,MT,113,"Kg/ Hectare"
2001-02,Idukki,Tea,24792,Hectare,46439,MT,1873,"Kg/ Hectare"
2001-02,Ernakulam,Tea,2,Hectare,,MT,,"Kg/ Hectare"
2001-02,Thrissur,Tea,530,Hectare,1687,MT,3183,"Kg/ Hectare"
2001-02,Palakkad,Tea,852,Hectare,1973,MT,2316,"Kg/ Hectare"
2001-02,Malappuram,Tea,192,Hectare,,MT,,"Kg/ Hectare"
2001-02,Kozhikode,Tea,,Hectare,,MT,,"Kg/ Hectare"
2001-02,Wayanad,Tea,6049,Hectare,15255,MT,2522,"Kg/ Hectare"
2001-02,Kannur,Tea,,Hectare,,MT,,"Kg/ Hectare"
2001-02,Kasaragod,Tea,,Hectare,,MT,,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2001-02,Kollam,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2001-02,Pathanamthitta,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2001-02,Alappuzha,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2001-02,Kottayam,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2001-02,Idukki,Coffee,12635,Hectare,9130,MT,723,"Kg/ Hectare"
2001-02,Ernakulam,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2001-02,Thrissur,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2001-02,Palakkad,Coffee,4650,Hectare,3450,MT,742,"Kg/ Hectare"
2001-02,Malappuram,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2001-02,Kozhikode,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2001-02,Wayanad,Coffee,67510,Hectare,54110,MT,802,"Kg/ Hectare"
2001-02,Kannur,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2001-02,Kasaragod,Coffee,,Hectare,,MT,,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Cloves,62,Hectare,4,MT,65,"Kg/ Hectare"
2001-02,Kollam,Cloves,30,Hectare,2,MT,67,"Kg/ Hectare"
2001-02,Pathanamthitta,Cloves,60,Hectare,4,MT,67,"Kg/ Hectare"
2001-02,Alappuzha,Cloves,18,Hectare,2,MT,111,"Kg/ Hectare"
2001-02,Kottayam,Cloves,102,Hectare,8,MT,78,"Kg/ Hectare"
2001-02,Idukki,Cloves,242,Hectare,16,MT,66,"Kg/ Hectare"
2001-02,Ernakulam,Cloves,55,Hectare,4,MT,73,"Kg/ Hectare"
2001-02,Thrissur,Cloves,44,Hectare,3,MT,68,"Kg/ Hectare"
2001-02,Palakkad,Cloves,15,Hectare,1,MT,67,"Kg/ Hectare"
2001-02,Malappuram,Cloves,38,Hectare,2,MT,53,"Kg/ Hectare"
2001-02,Kozhikode,Cloves,35,Hectare,2,MT,57,"Kg/ Hectare"
2001-02,Wayanad,Cloves,15,Hectare,2,MT,133,"Kg/ Hectare"
2001-02,Kannur,Cloves,18,Hectare,1,MT,56,"Kg/ Hectare"
2001-02,Kasaragod,Cloves,20,Hectare,1,MT,50,"Kg/ Hectare"
2001-02,Thiruvananthapuram,Nutmeg,41,Hectare,11,MT,268,"Kg/ Hectare"
2001-02,Kollam,Nutmeg,49,Hectare,12,MT,245,"Kg/ Hectare"
2001-02,Pathanamthitta,Nutmeg,240,Hectare,61,MT,254,"Kg/ Hectare"
2001-02,Alappuzha,Nutmeg,120,Hectare,31,MT,258,"Kg/ Hectare"
2001-02,Kottayam,Nutmeg,576,Hectare,149,MT,259,"Kg/ Hectare"
2001-02,Idukki,Nutmeg,587,Hectare,151,MT,257,"Kg/ Hectare"
2001-02,Ernakulam,Nutmeg,3094,Hectare,827,MT,267,"Kg/ Hectare"
2001-02,Thrissur,Nutmeg,2265,Hectare,482,MT,213,"Kg/ Hectare"
2001-02,Palakkad,Nutmeg,99,Hectare,26,MT,263,"Kg/ Hectare"
2001-02,Malappuram,Nutmeg,213,Hectare,54,MT,254,"Kg/ Hectare"
2001-02,Kozhikode,Nutmeg,176,Hectare,45,MT,256,"Kg/ Hectare"
2001-02,Wayanad,Nutmeg,27,Hectare,8,MT,296,"Kg/ Hectare"
2001-02,Kannur,Nutmeg,75,Hectare,20,MT,267,"Kg/ Hectare"
2001-02,Kasaragod,Nutmeg,39,Hectare,11,MT,282,"Kg/ Hectare"
2001-02,Thiruvananthapuram,"Betel leaves",36,Hectare,6441,MT,178917,"Kg/ Hectare"
2001-02,Kollam,"Betel leaves",57,Hectare,2196,MT,38526,"Kg/ Hectare"
2001-02,Pathanamthitta,"Betel leaves",68,Hectare,12167,MT,178926,"Kg/ Hectare"
2001-02,Alappuzha,"Betel leaves",58,Hectare,10379,MT,178948,"Kg/ Hectare"
2001-02,Kottayam,"Betel leaves",15,Hectare,2683,MT,178867,"Kg/ Hectare"
2001-02,Idukki,"Betel leaves",,Hectare,,MT,,"Kg/ Hectare"
2001-02,Ernakulam,"Betel leaves",42,Hectare,7514,MT,178905,"Kg/ Hectare"
2001-02,Thrissur,"Betel leaves",29,Hectare,5188,MT,178897,"Kg/ Hectare"
2001-02,Palakkad,"Betel leaves",6,Hectare,1074,MT,179000,"Kg/ Hectare"
2001-02,Malappuram,"Betel leaves",582,Hectare,111040,MT,190790,"Kg/ Hectare"
2001-02,Kozhikode,"Betel leaves",20,Hectare,3578,MT,178900,"Kg/ Hectare"
2001-02,Wayanad,"Betel leaves",,Hectare,,MT,,"Kg/ Hectare"
2001-02,Kannur,"Betel leaves",5,Hectare,894,MT,178800,"Kg/ Hectare"
2001-02,Kasaragod,"Betel leaves",26,Hectare,4652,MT,178923,"Kg/ Hectare"
2002-03,Thiruvananthapuram,Paddy,6423,Hectare,14119,MT,2198,"Kg/ Hectare"
